System,Domain,Task,Organization(s),Organization Categorization,Author(s),Publication date,Year,Reference,Link,Citations,Inclusion criteria,Source,Parameters,Training compute (FLOPs),Training dataset,Training dataset size (datapoints),Hidden layers,Inference compute (FLOPs),Equivalent training time (hours),Inference time (ms),Training dataset size (GB),Approach,Training objective,Training cost (2020 USD)
,Vision,,University of Oxford,,"S Wu, C Rupprecht, A Vedaldi",25/11/2019,2019,Unsupervised Learning of Probably Symmetric Deformable 3D Objects From Images in the Wild,https://arxiv.org/abs/1911.11130,6.60E+01,,,,,,,,,,,,,,
Theseus,Other,Maze solving,Bell Laboratories,,Claude Shannon,1952,1952,Mighty Mouse,https://www.technologyreview.com/2018/12/19/138508/mighty-mouse/,N/A,Historical relevance,,4.00E+01,4.0E+01,,4.00E+01,,,,,,,,
SNARC,Other,Maze solving,Harvard University Psychological Laboratories,,Marvin Minsky,08/01/1952,1952,A Neural-Analogue Calculator Based upon a Probability Model of Reinforcement,https://en.wikipedia.org/wiki/Stochastic_neural_analog_reinforcement_calculator,3.30E+01,Historical relevance,,4.00E+01,,,,,,,,,,,
,,,,,NA Barricelli,1954,1954,Esempi numerici di processi di evoluzione,,2.66E+02,Historical relevance,Median,,,,,,,,,,,,
Self Organizing System,Vision,Pattern recognition,Massachusetts Institute of Technology,Academia,W. A. Clark and B. G. Farley,1954,1954,Generalization of pattern recognition in a self-organizing system,https://dl.acm.org/doi/10.1145/1455292.1455309,8.30E+01,Historical relevance,,2.25E+02,,,2.56E+02,,,,,,,,
,Vision,Character recognition,Massachusetts Institute of Technology,Academia,O. G. Selfridge,01/03/1955,1955,Pattern recognition and learning,https://dl.acm.org/doi/10.1145/1455292.1455310,2.90E+02,Historical relevance,,,,,,,,,,,,,
,Vision,,Princeton University,Academia,AM Uttley,1956,1956,Conditional probability machines,https://www.sciencedirect.com/science/article/pii/S0019995859900580,8.40E+01,Historical relevance,,,,,,,,,,,,,
Perceptron Mark I,Vision,Binary classification,Cornell Aeronautical Laboratory,Industry,F Rosenblatt,01/01/1957,1957,The Perceptron—a perceiving and recognizing automaton,https://blogs.umass.edu/brain-wars/files/2016/03/rosenblatt-1957.pdf,1.61E+03,Historical relevance,OpenAI,4.00E+02,6.9E+05,,6.00E+00,N/A,,,,,,N/A,N/A
Samuel Neural Checkers,Games,Checkers,IBM,Industry,Arthur L. Samuel,1959,1959,Some studies in machine learning using the game of checkers,https://ieeexplore.ieee.org/abstract/document/5392560,4.15E+03,Highly cited,,1.60E+01,4.3E+08,,5.30E+04,N/A,,9,7.5,,,,
,Vision,Character recognition,Sandia Corporation,Industry,"W. W. Bledsoe, I. Browning",1959,1959,Pattern recognition and reading by machine,https://www.computer.org/csdl/proceedings-article/afips/1959/50550225/12OmNqN6R43,5.53E+02,Historical relevance,,2.63E+03,,,,,,,,,,,
Pandemonium (morse),Other,Morse translation,Massachusetts Institute of Technology,Academia,OG Selfridge,01/02/1959,1959,Pandemonium: A Paradigm for Learning,https://aitopics.org/doc/classics:504E1BAC/,1.45E+03,Highly cited,,3.00E+03,6.0E+08,,,,,,,,,,
ADALINE,Vision,Pattern recognition,Stanford University,Academia,Widrow and Hoff,1960,1960,Adaptive switching circuits,https://isl.stanford.edu/~widrow/papers/c1960adaptiveswitching.pdf,6.33E+03,Highly cited,,1.70E+01,9.9E+03,,1.00E+02,,3.30E+01,,,,,,
LMS,,,Stanford University,Academia,Widrow and Hoff,1960,1960,Adaptive switching circuits (technical report),https://apps.dtic.mil/sti/pdfs/AD0241531.pdf,6.33E+03,Highly cited,,,,,,,,,,,,,
,,,Massachusetts Institute of Technology (MIT),Academia,Marvin Minsky,1961,1961,Steps Toward Artificial Intelligence,https://ieeexplore.ieee.org/abstract/document/4066245,2.43E+03,Highly cited,,,,,,,,,,,,,
,,,Massachusetts Institute of Technology (MIT),Academia,Marvin Minsky and Oliver G. Selfridge,1961,1961,Learning in random nets,https://stacks.stanford.edu/file/druid:yr384hg3073/yr384hg3073.pdf,4.70E+01,Historical relevance,,,,,,,,,,,,,
,,Binary classification,The University of Genoa,Academia,"A Gamba, L Gamberini, G Palmieri, R Sanna",27/03/1961,1961,Further experiments with PAPA,https://link.springer.com/content/pdf/10.1007/BF02822639.pdf,2.10E+01,,,,,,,,,,,,,,
MADALINE I,,,Standford University,Academia,William Combs Ridgway,1962,1962,An adaptive logic system with generalizing properties,https://www.proquest.com/openview/7898314db50a218b58052ac91e3bde1e/1?,7.50E+01,Historical relevance,,,,,,,,,,,,,
STeLLA,,,University of Canterbury,Academia,J.H. Andreae and Peter L. Joyce,1963,1963,STeLLA: A Scheme for a Learning Machine,https://www.researchgate.net/publication/252919025_STELLA_A_scheme_for_a_learning_machine,3.40E+01,,,,,,,,,,,,,,
MENACE,Games,Tic Tac Toe,University of Edinburgh,Academia,Donald Michie,01/11/1963,1963,Experiments on the Mechanization of Game-Learning Part I. Characterization of the Model and its parameters,https://academic.oup.com/comjnl/article/6/3/232/360077,4.60E+01,,,,,,,,,,,,,,
Samuel Neural Checkers II,Games,Checkers,Stanford University,Academia,"Palmieri, G. and R. Sanna",01/11/1967,1967,Some studies in machine learning using the game of checkers. Part II,https://www.cs.virginia.edu/~evans/greatworks/samuel.pdf,7.47E+02,,,4.00E+01,,,,N/A,,,,,,,
GLEE,Games,Tic Tac Toe,University of Edinburgh,Academia,Michie and Chambers,1968,1968,Boxes: An Experiment in Adaptive Control,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.474.2430&rep=rep1&type=pdf,5.90E+02,Historical relevance,,,,,,,,,,,,,
BOXES,Games,Pole balancing,University of Edinburgh,Academia,Michie and Chambers,1968,1968,Boxes: An Experiment in Adaptive Control,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.474.2430&rep=rep1&type=pdf,5.90E+02,Historical relevance,,,,,,,,,,,,,
,,,Massachusetts Institute of Technology,Academia,Patrick Winston,01/09/1970,1970,Learning Structural Definitions from Examples,https://dspace.mit.edu/handle/1721.1/6884,1.81E+03,Highly cited,,,,,,,,,,,,,
Naive Bayes,Vision,,Ricoh California Research Center,Industry,Duda and Hart,1973,1973,Pattern Classification and Scene Analysis,http://www.svms.org/classification/DuHS95.pdf,2.31E+04,Highly cited,,,,,,,,,,,,,
Bootstrap Adaptation,Games,Blackjack,IEEE,Academia,"Widrow, Gupta, and Maitra",09/1973,1973,Punish/Reward: Learning with a Critic in Adaptive Threshold Systems,https://ieeexplore.ieee.org/document/4309272,3.82E+02,,,2.10E+01,,,,,,,,,,,
Cognitron,,,NHK Broadcasting Science Research Laboratories,Industry,Kunihiko Fukushima,1975,1975,Cognitron: a self-organizing multilayered neural network,https://link.springer.com/article/10.1007%2FBF00342633,7.91E+02,Historical relevance,,,,,,,,,,,,,
